workerid,proliferate.condition,error
72,main,NA
332,main,NA
353,main,NA
423,main,NA
146,main,NA
258,main,NA
179,main,NA
56,main,NA
278,main,NA
162,main,NA
240,main,NA
341,main,NA
246,main,NA
355,main,NA
270,main,NA
176,main,NA
314,main,NA
73,main,NA
204,main,NA
266,main,NA
343,main,NA
419,main,NA
219,main,NA
260,main,NA
160,main,NA
290,main,NA
62,main,NA
230,main,NA
159,main,NA
149,main,NA
138,main,NA
298,main,NA
422,main,NA
77,main,NA
292,main,NA
182,main,NA
281,main,NA
297,main,NA
433,main,NA
112,main,NA
81,main,NA
223,main,NA
295,main,NA
348,main,NA
338,main,NA
346,main,NA
352,main,NA
132,main,NA
312,main,NA
391,main,NA
414,main,NA
323,main,NA
106,main,NA
342,main,NA
313,main,NA
303,main,NA
400,main,NA
368,main,NA
61,main,NA
84,main,NA
101,main,NA
385,main,NA
249,main,NA
311,main,NA
375,main,NA
324,main,NA
418,main,NA
89,main,NA
317,main,NA
170,main,NA
203,main,NA
318,main,NA
217,main,NA
366,main,NA
52,main,NA
177,main,NA
199,main,NA
201,main,NA
136,main,NA
349,main,NA
148,main,NA
70,main,NA
46,main,NA
402,main,NA
256,main,NA
248,main,NA
130,main,NA
218,main,NA
388,main,NA
153,main,NA
147,main,NA
211,main,NA
236,main,NA
382,main,NA
288,main,NA
247,main,NA
301,main,NA
350,main,NA
85,main,NA
328,main,NA
285,main,NA
163,main,NA
279,main,NA
381,main,NA
80,main,NA
115,main,NA
74,main,NA
378,main,NA
275,main,NA
135,main,NA
67,main,NA
283,main,NA
118,main,NA
383,main,NA
330,main,NA
384,main,NA
299,main,NA
119,main,NA
188,main,NA
300,main,NA
327,main,NA
50,main,NA
49,main,NA
416,main,NA
139,main,NA
90,main,NA
326,main,NA
302,main,NA
185,main,NA
213,main,NA
334,main,NA
428,main,NA
69,main,NA
226,main,NA
407,main,NA
51,main,NA
45,main,NA
125,main,NA
380,main,NA
238,main,NA
78,main,NA
169,main,NA
141,main,NA
215,main,NA
267,main,NA
127,main,NA
133,main,NA
394,main,NA
306,main,NA
401,main,NA
294,main,NA
63,main,NA
200,main,NA
193,main,NA
137,main,NA
161,main,NA
171,main,NA
251,main,NA
94,main,NA
372,main,NA
265,main,NA
379,main,NA
397,main,NA
206,main,NA
181,main,NA
351,main,NA
59,main,NA
91,main,NA
190,main,NA
405,main,NA
128,main,NA
116,main,NA
175,main,NA
166,main,NA
87,main,NA
120,main,NA
254,main,NA
98,main,NA
273,main,NA
361,main,NA
221,main,NA
410,main,NA
208,main,NA
111,main,NA
205,main,NA
239,main,NA
187,main,NA
76,main,NA
196,main,NA
79,main,NA
234,main,NA
367,main,NA
398,main,NA
194,main,NA
357,main,NA
83,main,NA
229,main,NA
105,main,NA
156,main,NA
331,main,NA
393,main,NA
93,main,NA
271,main,NA
296,main,NA
362,main,NA
340,main,NA
365,main,NA
308,main,NA
345,main,NA
195,main,NA
155,main,NA
262,main,NA
389,main,NA
209,main,NA
235,main,NA
415,main,NA
374,main,NA
99,main,NA
252,main,NA
167,main,NA
344,main,NA
305,main,NA
358,main,NA
269,main,NA
154,main,NA
319,main,NA
237,main,NA
329,main,NA
222,main,NA
225,main,NA
280,main,NA
174,main,NA
263,main,NA
293,main,NA
71,main,NA
220,main,NA
214,main,NA
395,main,NA
68,main,NA
411,main,NA
369,main,NA
192,main,NA
274,main,NA
409,main,NA
427,main,NA
250,main,NA
184,main,NA
429,main,NA
202,main,NA
88,main,NA
243,main,NA
392,main,NA
82,main,NA
424,main,NA
180,main,NA
172,main,NA
406,main,NA
310,main,NA
191,main,NA
421,main,NA
165,main,NA
287,main,NA
259,main,NA
197,main,NA
347,main,NA
117,main,NA
325,main,NA
289,main,NA
134,main,NA
412,main,NA
44,main,NA
103,main,NA
227,main,NA
257,main,NA
145,main,NA
224,main,NA
64,main,NA
435,main,NA
178,main,NA
55,main,NA
344,main,NA
339,main,NA
92,main,NA
376,main,NA
333,main,NA
364,main,NA
431,main,NA
151,main,NA
173,main,NA
377,main,NA
113,main,NA
335,main,NA
359,main,NA
95,main,NA
102,main,NA
142,main,NA
360,main,NA
245,main,NA
363,main,NA
186,main,NA
336,main,NA
286,main,NA
58,main,NA
264,main,NA
97,main,NA
404,main,NA
53,main,NA
143,main,NA
370,main,NA
399,main,NA
282,main,NA
396,main,NA
75,main,NA
322,main,NA
426,main,NA
356,main,NA
57,main,NA
373,main,NA
183,main,NA
244,main,NA
413,main,NA
309,main,NA
108,main,NA
432,main,NA
66,main,NA
107,main,NA
216,main,NA
150,main,NA
316,main,NA
387,main,NA
86,main,NA
261,main,NA
284,main,NA
121,main,NA
114,main,NA
268,main,NA
212,main,NA
164,main,NA
100,main,NA
434,main,NA
241,main,NA
48,main,NA
233,main,NA
