workerid,proliferate.condition,condition,item_id,matrix_subject,response,rt,scale,slide_number_in_experiment,speakerGender,speakerName,statement,trigger,trigger_class,utterance,catch_trials,subject_information.age,subject_information.american,subject_information.assess,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
72,main,ub,5,Barbara,0.15,17006,some,4,F,Donna,"Frank graded some of the math problems, and he did not grade all of them",inform_Sam,C,Did Barbara inform Sam that Frank graded some of the math problems?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,NA,control6,NA,0,5703,NA,5,M,Matthew,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,ub,3,Justin,0.09,10380,some,6,F,Jennifer,"Emma stole some of the office supplies, and she did not take all of them",reveal,NonProj,Did Justin reveal that Emma stole some of the office supplies?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,ub,8,Brian,0.1,7224,or,7,F,Dorothy,"Emily failed math or science, and she did not fail both",know,NonProj,Does Brian know that Emily failed math or science?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,lb,2,Scott,0.99,11212,some,8,M,George,Josie failed at least some of the courses,acknowledge,C,Did Scott acknowledge that Josie failed some of the courses?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,lb,6,Rachel,0.12,7494,some,9,F,Sandra,Jackson drank at least some of the sodas,say,C,Did Rachel say that Jackson drank some of the sodas?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,ub,12,Melissa,0.13,7000,or,10,F,Nancy,"Josh drank coffee or tea, and he did not drink both",confirm,C,Did Melissa confirm that Josh drank coffee or tea?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,lb,1,Patrick,0.25,14777,some,11,F,Carol,Mary ate at least some of the cupcakes,suggest,C,Did Patrick suggest that Mary ate some of the cupcakes?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,lb,10,Tina,0.17,13050,or,12,F,Karen,Jayden solved the crossword or the Rubik's cube or both,prove,C,Did Tina prove that Jayden solved the crossword or the Rubik's cube?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,NA,control1,NA,0.12,6724,NA,13,F,Helen,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,NA,control4,NA,0.11,7089,NA,14,M,Kenneth,Vanessa is good at math,control,control,Is Vanessa good at math?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,ub,9,Andrew,0.12,7694,or,15,M,Paul,"Grace stole a laptop or a calculator, and she did not steal both",establish,NonProj,Did Andrew establish that Grace stole a laptop or a calculator?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,ub,4,Janice,0.09,5710,some,16,M,Christopher,"Danny solved some of the puzzles, and he did not solve all of them",discover,NonProj,Did Janice discover that Danny solved some of the puzzles?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,NA,control3,NA,0.09,5134,NA,17,M,Steven,Todd played football in high school,control,control,Did Todd play football in high school?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,NA,control2,NA,0.1,4802,NA,18,F,Betty,Mary's aunt is sick,control,control,Is Mary's aunt sick?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,NA,control5,NA,0.05,4562,NA,19,F,Michelle,Madison had a baby,control,control,Did Madison have a baby?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,lb,7,Kevin,0.09,5580,or,20,F,Margaret,Isabella ate cake or pie or both,think,NonProj,Does Kevin think that Isabella ate cake or pie?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
72,main,lb,11,Amanda,0.06,7330,or,21,M,Thomas,Tony graded the midterm or the final or both,hear,C,Did Amanda hear that Tony graded the midterm or the final?,[],68,y,Yes,Interesting study.  Asking if something happened doesn't equate to it having happened.  Would be interesting to see if answers varied by educational background.,Hold a higher degree,Yes,f,English,none,Chrome,Windows,1080,1920,4.525166666666666,NA
332,main,lb,9,Andrew,0.75,26839,or,4,F,Ashley,Grace stole a laptop or a calculator or both,hear,C,Did Andrew hear that Grace stole a laptop or a calculator?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,NA,control2,NA,0.21,11589,NA,5,F,Margaret,Mary's aunt is sick,control,control,Is Mary's aunt sick?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,ub,12,Melissa,0.77,30010,or,6,F,Elizabeth,"Josh drank coffee or tea, and he did not drink both",prove,C,Did Melissa prove that Josh drank coffee or tea?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,lb,6,Rachel,0.98,33901,some,7,F,Helen,Jackson drank at least some of the sodas,inform_Sam,C,Did Rachel inform Sam that Jackson drank some of the sodas?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,lb,4,Janice,0.99,9509,some,8,M,Mark,Danny solved at least some of the puzzles,know,NonProj,Does Janice know that Danny solved some of the puzzles?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,ub,1,Patrick,0.86,13861,some,9,F,Donna,"Mary ate some of the cupcakes, and she did not eat all of them",confirm,C,Did Patrick confirm that Mary ate some of the cupcakes?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,lb,11,Amanda,0.57,54011,or,10,M,William,Tony graded the midterm or the final or both,discover,NonProj,Did Amanda discover that Tony graded the midterm or the final?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,NA,control3,NA,0.06,10978,NA,11,F,Carol,Todd played football in high school,control,control,Did Todd play football in high school?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,lb,7,Kevin,0.73,14602,or,12,M,Christopher,Isabella ate cake or pie or both,reveal,NonProj,Did Kevin reveal that Isabella ate cake or pie?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,ub,10,Tina,0.79,13414,or,13,M,Kenneth,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",establish,NonProj,Did Tina establish that Jayden solved the crossword or the Rubik's cube?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,ub,8,Brian,0.81,8523,or,14,M,David,"Emily failed math or science, and she did not fail both",acknowledge,C,Did Brian acknowledge that Emily failed math or science?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,NA,control1,NA,0.01,9600,NA,15,F,Sarah,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
332,main,lb,2,Scott,0.65,22401,some,16,M,Thomas,Josie failed at least some of the courses,say,C,Did Scott say that Josie failed some of the courses?,[],36,y,Yes,None,Graduated College,Yes,f,English,No,Chrome,Windows,720,1280,8.814016666666667,NA
