workerid,proliferate.condition,Browser,OS,screenH,screenW,error
72,main,Chrome,Windows,1080,1920,NA
332,main,Chrome,Windows,720,1280,NA
353,main,Chrome,Windows,720,1280,NA
423,main,Chrome,Windows,720,1280,NA
146,main,Chrome,Windows,720,1280,NA
258,main,Firefox,Windows,912,1368,NA
179,main,Chrome,Linux,613,1092,NA
56,main,Chrome,Mac,900,1440,NA
278,main,Chrome,Windows,1080,1920,NA
162,main,Chrome,Windows,1080,1920,NA
240,main,Firefox,Mac,1120,1792,NA
341,main,Chrome,Windows,1080,1920,NA
246,main,Safari,Mac,1440,2560,NA
355,main,Chrome,Windows,1440,3440,NA
270,main,Chrome,Windows,813,1444,NA
176,main,Chrome,Windows,1080,1920,NA
314,main,Chrome,Mac,1080,1920,NA
73,main,Chrome,Windows,720,1280,NA
204,main,Chrome,Windows,912,1368,NA
266,main,Chrome,Windows,1024,1536,NA
343,main,Chrome,Windows,1080,1920,NA
219,main,Chrome,Windows,1080,1920,NA
260,main,Chrome,Linux,1080,1920,NA
160,main,Chrome,Windows,900,1440,NA
290,main,Chrome,Mac,1050,1680,NA
62,main,Chrome,Windows,864,1536,NA
230,main,Chrome,Windows,768,1366,NA
159,main,Chrome,Mac,1080,1920,NA
149,main,Chrome,Linux,768,1366,NA
138,main,Firefox,Mac,956,1470,NA
298,main,Chrome,Windows,1080,1920,NA
422,main,Chrome,Windows,1080,1920,NA
77,main,Chrome,Windows,1080,1920,NA
292,main,Chrome,Windows,912,1368,NA
182,main,Chrome,Windows,1080,1920,NA
281,main,Chrome,Windows,821,1313,NA
297,main,Chrome,Windows,864,1536,NA
112,main,Chrome,Windows,1080,1920,NA
81,main,Chrome,Windows,1440,2560,NA
223,main,Chrome,Windows,1080,1920,NA
295,main,Chrome,Windows,864,1536,NA
348,main,Chrome,Windows,607,970,NA
338,main,Chrome,Windows,1080,1920,NA
346,main,Chrome,Windows,864,1536,NA
352,main,Chrome,Linux,664,1181,NA
132,main,Chrome,Windows,1200,3840,NA
312,main,Chrome,Windows,1080,1920,NA
391,main,Chrome,Linux,981,1745,NA
414,main,Chrome,Windows,720,1280,NA
323,main,Chrome,Windows,864,1536,NA
106,main,Chrome,Windows,1080,1920,NA
342,main,Chrome,Windows,768,1366,NA
313,main,Chrome,Windows,864,1536,NA
303,main,Chrome,Windows,864,1536,NA
368,main,Firefox,Windows,864,1536,NA
61,main,Firefox,Windows,1080,1920,NA
84,main,Chrome,Windows,1067,1707,NA
101,main,Chrome,Windows,800,1280,NA
385,main,Chrome,Windows,1080,1920,NA
249,main,Chrome,Windows,864,1536,NA
311,main,Chrome,Linux,667,1187,NA
375,main,Chrome,Windows,864,1536,NA
324,main,Chrome,Windows,1080,1920,NA
418,main,Chrome,Mac,900,1440,NA
89,main,Chrome,Windows,912,1368,NA
317,main,Safari,Mac,1080,1920,NA
170,main,Chrome,Windows,768,1366,NA
203,main,Chrome,Windows,720,1281,NA
318,main,Chrome,Windows,768,1366,NA
217,main,Chrome,Windows,768,1366,NA
366,main,Chrome,Windows,1080,1920,NA
52,main,Chrome,Linux,785,1396,NA
177,main,Firefox,Windows,900,1600,NA
199,main,Chrome,Windows,768,1366,NA
201,main,Chrome,Mac,1440,2560,NA
136,main,Chrome,Windows,1080,1920,NA
349,main,Chrome,Windows,1080,1920,NA
148,main,Chrome,Mac,1050,1680,NA
70,main,Chrome,Windows,768,1366,NA
46,main,Chrome,Windows,1080,1920,NA
402,main,Chrome,Windows,768,1366,NA
256,main,Chrome,Mac,720,1280,NA
248,main,Firefox,Windows,600,1200,NA
130,main,Chrome,Windows,800,1280,NA
218,main,Chrome,Linux,785,1396,NA
388,main,Chrome,Windows,768,1366,NA
153,main,Chrome,Mac,956,1470,NA
