workerid,proliferate.condition,time_in_minutes,error
72,main,4.525166666666666,NA
332,main,8.814016666666667,NA
353,main,4.112616666666667,NA
423,main,2.6428,NA
146,main,3.05585,NA
258,main,5.140416666666667,NA
179,main,7.499133333333333,NA
56,main,4.938883333333333,NA
278,main,7.826783333333333,NA
162,main,9.034433333333334,NA
240,main,4.7964,NA
341,main,3.781083333333333,NA
246,main,5.06765,NA
355,main,12.593533333333331,NA
270,main,11.824116666666669,NA
176,main,4.380133333333333,NA
314,main,6.655833333333334,NA
73,main,12.79535,NA
204,main,14.571266666666666,NA
266,main,3.33915,NA
343,main,9.619883333333334,NA
219,main,4.396116666666667,NA
260,main,8.031716666666666,NA
160,main,8.07795,NA
290,main,2.5805333333333333,NA
62,main,4.755066666666667,NA
230,main,4.19535,NA
159,main,4.647,NA
149,main,10.594383333333331,NA
138,main,2.337833333333333,NA
298,main,3.1112166666666665,NA
422,main,3.2093166666666666,NA
77,main,5.075233333333333,NA
292,main,2.7982833333333335,NA
182,main,6.25165,NA
281,main,7.345216666666667,NA
297,main,3.8991666666666664,NA
112,main,11.36375,NA
81,main,4.13655,NA
223,main,4.465816666666667,NA
295,main,3.641566666666667,NA
348,main,2.9647833333333335,NA
338,main,4.7537,NA
346,main,8.167883333333334,NA
352,main,2.7641833333333334,NA
132,main,4.428183333333333,NA
312,main,6.594366666666667,NA
391,main,3.8202,NA
414,main,11.256633333333331,NA
323,main,5.1405666666666665,NA
106,main,5.4452,NA
342,main,10.241466666666666,NA
313,main,2.6603833333333333,NA
303,main,6.622066666666667,NA
368,main,4.806033333333334,NA
61,main,3.6178,NA
84,main,7.452783333333333,NA
101,main,5.750916666666667,NA
385,main,5.3826,NA
249,main,4.4474,NA
311,main,9.672166666666667,NA
375,main,1.4360833333333334,NA
324,main,5.991333333333333,NA
418,main,4.75675,NA
89,main,5.728383333333333,NA
317,main,5.627816666666667,NA
170,main,3.715683333333333,NA
203,main,4.509116666666666,NA
318,main,8.287766666666666,NA
217,main,4.5102,NA
366,main,5.24715,NA
52,main,5.06915,NA
177,main,3.952,NA
199,main,7.16945,NA
201,main,4.102166666666666,NA
136,main,5.748,NA
