workerid,proliferate.condition,Browser,OS,screenH,screenW,error
12,main,Chrome,Mac,956,1470,
11,main,Chrome,Mac,956,1470,
20,main,Chrome,Mac,956,1470,
26,main,Chrome,Windows,1080,1920,
6,main,Chrome,Mac,956,1470,
7,main,Chrome,Mac,956,1470,
4,main,Chrome,Mac,956,1470,
1,main,Chrome,Mac,956,1470,
10,main,Chrome,Mac,956,1470,
24,main,Chrome,Windows,1080,1920,
9,main,Chrome,Mac,956,1470,
3,main,Chrome,Mac,956,1470,
27,main,Chrome,Windows,1080,1920,
30,main,Chrome,Windows,768,1366,
8,main,Chrome,Mac,956,1470,
21,main,Chrome,Windows,1080,1920,
28,main,Chrome,Linux,768,1366,
23,main,Chrome,Windows,1050,1680,
25,main,Chrome,Linux,768,1366,
29,main,Chrome,Mac,982,1512,
22,main,Chrome,Mac,956,1470,
