workerid,proliferate.condition,time_in_minutes,error
12,main,0.7365833333333334,
11,main,0.7277166666666667,
20,main,1.3121666666666667,
26,main,4.74635,
6,main,0.6665166666666666,
7,main,0.7768,
4,main,0.7138666666666666,
1,main,0.70005,
10,main,0.7687833333333334,
24,main,2.480683333333334,
9,main,0.7277,
3,main,1.15375,
27,main,7.20535,
30,main,2.0050166666666667,
8,main,0.7171666666666666,
21,main,3.4995,
28,main,6.4909,
23,main,4.16895,
25,main,3.8287333333333335,
29,main,2.9435166666666666,
22,main,2.8069166666666665,
