workerid,proliferate.condition,age,american,assess,comments,education,enjoyment,gender,language,problems,error
42,main,39,y,Yes,,Graduated College,It was fine,f,english,,
34,main,24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,
33,main,27,y,Yes,,,No,m,English and Chinese,,
5,main,35,n,No,huuky,,,,english ,,
37,main,54,y,Yes,I could've taken the sentences different ways so it was tough to rate them!,Some College,Yes,f,English,none,
35,main,41,y,Yes,,Graduated College,Yes,f,English,No,
40,main,36,y,Yes,I enjoyed the survey. ,Hold a higher degree,Yes,f,English,None.,
39,main,51,y,Yes,,Some College,Yes,f,,,
38,main,57,y,Yes,,Graduated College,It was fine,f,English,,
36,main,29,y,Yes,,Graduated High School,It was fine,o,English,no,
